예쁜;아름다운,멋진,고운
해충을;벌레를,해충류를,곤충을
쫒아내다;쫒다,몰아내다,내쫒다,추방하다
쫒아내고;몰아내고,내쫒고,없애고,제거하고
소독하는;살균하는,살균처리하는,멸균하는
역할을;기능을,임무를
복용하면;먹으면,섭취하면
이로운;유익한,좋은,이익이 되는,효과적인
효능이;효과가,효능이,기능이,작용이
평소에;보통,일상적으로,평소,평소와 같이
원할해지고;원활하고,부드러워지고,적절해지고
소변의;오줌의
배출을;배설을,방출을
돕고;도와주고,지원하고,보조하고

같이;함께,동시에,공동으로,동반하여,연대하여
반기는;호감을 가지는,좋아하는,즐거워하는,애정 어린,관심있는
섭리;도덕,덕목,윤리,유덕,도덕성,도덕적 원칙
아토피;아토피 피부염,지루성 피부염,알레르기성 피부질환
피부;피부조직,표피,피부세포,피부결,피부색,피부과학
심하다면;심각하다면,중대하다면,치명적이다면,크게 다르지 않다면,크게 벗어나지 않는다면
숙취;술기운,알코올기운,술피로
기능을;기능 발휘를,기능 개선을,기능 강화를
힘든;고된,어려운,빡센,힘들어하는
더는데;없애는데,제거하는데,낮추는데
상쾌하게;상쾌한 느낌으로,상쾌한 맛으로,상쾌한 향으로
아시다시피;알다시피,알고 있듯이,잘 아시겠지만,분명히 아시겠지만
섭취하면;섭취시,섭취했을 때,먹었을 때,먹으면
먹으면;먹을 때,섭취할 때,먹었을 때
마시면;마실 때,섭취할 때,마셨을 때
많이;다량으로,다수,다량,대량,풍부하게,풍성하게
많게;막대하게,상당하게,상대적으로 많게
다량으로;대량으로,다수로,다량의
인기;대중성,인기도,인기 있는,유행하는
항산화;산화 방지,산화 저해,산화 작용 억제
맑게;맑아지게,맑은,맑은 날씨의,깨끗한,맑은 정신의
꾸준히;꾸준하게,지속적으로,연속적으로,꾸준한,끊임없이
꾸준하게;꾸준히,지속적으로,연속적으로,꾸준한,끊임없이
노화가;노령화가,노화 현상이,노화 반응이,노화 방지가,노화 지연이
고만큼;요만큼,이만큼,조만큼
그만두고;관두고,고만두고,내비두고,단념하고,체념하고
많고;가득하고,그득하고,가득차고,넉넉하고,충분하고
충분히;많이,넉넉히,가득히
충분한;많은,넉넉한,가득한
자주;잘,빈번히,제법 잘,일쑤,수시로,종종,주기적으로,걸핏하면
시시각각;때때로,수시로,아무때나 늘
가게;가겟집,노점,상점,살림,슈퍼,상점,마켓
가격대;가격 범위,가격 구간 
가격제;가격 체계,가격 시스템,가격 정책 
가격표;가격 리스트,가격 목록,가격 안내표 
가결;결정,결론,확정 
가계;가정,가족,가족 경제,가계 경제 
가계부;가계부지,가계부록,가계부서 
가계비;가정비,생활비,경비,소비비용 
가계약;가정 계약,가정 계약서,가정 계약서류 
가곡;노래,노래곡,가곡류 
가공;가공처리,처리,가공가능,가공공정 
가공법;가공기술,가공공법,가공방법 
가공성;가공가능성,처리성,가공도 
가공업;가공산업,가공 제조업,가공생산업 
가공업소;가공공장,가공공정소,가공시설 
가공업자;가공업자들,가공산업자,가공기술자 
가공인물;가공관련 인물,가공산업인,가공가공 기술자 
가공품;가공제품,가공생산품,가공처리품 
가관;파이프,관,관로 
가구;家具,가정,가정집기,가구구성 
가구원;가정원,家族員,家族成員,가족 구성원 
가구재;가구 소품,가구 재료,가구 용품 
가구점;가구 매장,家具店,가정 가구 매장 
가구주;가정주인,家主,가족 대표,가구 소유자 
가극;연극,연극작품,연극공연 
가급적;가능한한,최대한,되도록이면,바람직하게
가까스로;거의,대충,간신히,겨우 
가까이;가까운 곳,근처,인근,근거리 
가깝다;가까운,근접한,인접한,근거리의 
가꾸다;가꾸어 나가다,재배하다,육성하다,관리하다 
가끔;때때로,가끔가다,가끔씩,가끔가다가 
가끔가다;가끔,때때
가끔씩;가끔,때때로,종종,때때로,이따금
가끔가다;때때로
가끔가다가;가끔,때때로 
가나다순;알파벳순 
가난;빈곤,궁핍 
가난뱅이;빈민,거지 
가내;가정,집안 
가내적;가족적,가정적 
가냘프다;허약하다,여윈 
가녀리다;마른,날씬한 
가누다;억지로 분리하다,끊다 
가느다랗다;좁다,협소한 
가느닿다;가까워지다,다가오다 
가느스름;어둑하고 캄캄한,어둡다 
가느스름히;어둑하게,어둡게 
